time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/iterations,train/clip_range,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/approx_kl,train/n_updates,train/clip_fraction,train/value_loss,train/loss,train/entropy_loss
706560,649,242.79,99.61009999999999,1087,345,0.2,-0.006256405095336958,0.8432366251945496,0.0003,0.0025618915,3440,0.030126953125,43.31663131713867,18.264833450317383,-0.35014215111732483
708608,651,247.58,101.54619999999998,1087,346,0.2,-0.010554255510214716,0.8471790552139282,0.0003,0.006350535,3450,0.05458984375,45.69195261001587,19.534746170043945,-0.36588106825947764
710656,653,250.77,102.9923,1087,347,0.2,-0.007345434988383204,0.7615577578544617,0.0003,0.0036502369,3460,0.034765625,55.528174018859865,23.106651306152344,-0.34124335572123526
712704,655,248.36,102.9374,1087,348,0.2,-0.005156011536018923,0.8559072613716125,0.0003,0.0040749833,3470,0.01865234375,40.581017875671385,18.777360916137695,-0.35534636229276656
714752,657,251.51,105.04389999999998,1087,349,0.2,-0.006311882636509836,0.7210052013397217,0.0003,0.003950623,3480,0.043115234375,62.25297737121582,28.759071350097656,-0.37010250687599183
716800,659,256.49,107.57110000000003,1087,350,0.2,-0.005305198740097694,0.7995407581329346,0.0003,0.0038457878,3490,0.02861328125,44.28053121566772,18.391725540161133,-0.3536024369299412
718848,661,256.21,109.0069,1087,351,0.2,-0.007355623232433573,0.8634910583496094,0.0003,0.004380199,3500,0.045751953125,32.76892642974853,13.84363079071045,-0.360899218916893
720896,663,261.79,111.91410000000002,1087,352,0.2,-0.007677179470192641,0.82499760389328,0.0003,0.0035178852,3510,0.03203125,47.00026903152466,19.367488861083984,-0.34636350274086
722944,665,259.33,110.67470000000002,1086,353,0.2,-0.00965020662988536,0.8904786109924316,0.0003,0.005396393,3520,0.042919921875,33.204426765441895,13.653844833374023,-0.3699068583548069
724992,666,260.1,111.777,1087,354,0.2,-0.007205885121948086,0.8783320188522339,0.0003,0.0035159735,3530,0.0306640625,37.09086508750916,16.918132781982422,-0.35312034487724303
727040,669,262.66,111.18540000000002,1085,355,0.2,-0.007530025229789317,0.8661587238311768,0.0003,0.0036079118,3540,0.041162109375,37.02891526222229,15.811162948608398,-0.3648759759962559
